content,score,Label
Gamenya tolong kurangin mb nya pas dolnot semua perankat sampek gb11,1,Negatif
game sampah mending main hok. gua maen 30 petandingan dari epik 2 bintang 1 gua ngestak.nasib pelayer solo moonton selaku develover gamenya kasih keseimbangan lah dalam macht supaya gamenya seimbang.kalo dapet timnya drak sitem musuhnya juga drak sistem dong moonton.keresahan player solo tim sama musuhnya ga seimbang jadi pliss moonton kasih kesimbangan timnyaa,1,Negatif
"for moonton tolong dong di perbaiki lagi bug freeze kadang ngeselin lagi war enak-enak, eh tiba-tiba malah ngefreeze ga jelas, jadi harus relog dulu paling males relog nunggu di loading screen ny itu lamaa, tolong lah moonton perbaiki lagi server nya.",1,Negatif
Game ini jika mau kasih kalah player hp jadi panas .tapi bila kasih player menang hp tidak panas.Game ini tidak bagus satu Hero bisa menghabisi Hero tim player. bilang main jujur dan adil.tidak ada bagus nya Bikin buang waktu .di kasih tim yang bodoh dan di kasih player kalah terus menerus.ya akhirnya saya hapus game ini dari hp saya.😡 Game online bikin pusing Masih banyak game online yang lain yang tidak bikin kita pusing. Serang lawan lag tapi lawan serang player tidak ada lag.,1,Negatif
Tiap abis update pasti dapet dark system dan keselnya player yg pernah di blacklist kok bisa²nya ketemu trus jadi setim lagi itu yg bikin emosi.,1,Negatif
bagus gamenya cuman gue lose streak dari epik 1 bintang 2 ke GM. tiba² dpt tim dark sistem sedangkan musuhnya pro bngt. mungkin kalah itu wajar tapi gue capek kalah terus sampe gue ke GM lagi.seribu tantangan gw lewati tapi akhirnya GM LAGI.,2,Negatif
Game apa sih ini cokk cape bgt gua asli buat player solo gila banget moonton dapet tim yang ga bener mulu sumpah jujur jujuran klo soal pemilihan tim lebih baik HOK di banding ML sebagai player solo sangat kecewa karna tidak ada perubahan nya sama sekali dari dulu tolong dong moonton dengar suara kami dari player solo ranked cape bgt tolong perbaiki dan bedain mana yang bisa main sama yang enggak!!!!,1,Negatif
"Hallo moonton, ini untuk kesekian kali nya, kalo match itu dapet team yng tau cara maen, game bagus tapi gak bisa buat para player nya seneng, 5x maen menang 1x, gak masuk akal, dilaporin tapi gak dihukum, jng karna match nya gak baik harus uninstall game, bikin emosi maen dapet team tukang trolll semua, tolong diperhatikan baik baik,",2,Negatif
"gausah main dek kalo ngamau (STRESSS) ini game ? hah lawak game buat stress yg ada hapus aja udah game berat tapi permainan gaada peningkatan, Lo kasian nga si ke player yang old old mereka kebanyakan pensi garagara apa ? garagara player baru yang namanya drak sistem lo kasian ga si anj, hapus aja udah ngapain di kembangin lagi lo tu dah kalah ma game sebelah fuc",1,Negatif
"Pemilihan tim sangat gaje, kawan satu tim isinya bot + buta map, dikasih musuh yang jago. gak adil banget pokoknya",1,Negatif
"Game jelek, matchmaking ga seimbang, update yg ga perlu, bahkan kadang lagi main di masukin ke dunia bot, emang MLBB, Main Lag Banyak Bug",1,Negatif
"Pliss lah moonton klo ganti season player yg emang masih di epic temuin Ama yg sesama epic klo yg bekas mytik temuin Ama yg bekas mytik biar adil jangan di campur, apalagi klo yg mainnya solo Mulu kasih tim yang beneran dikit kasian player player solo tolong lah hargain player solo moonton.",2,Negatif
Hai moonton kenapa aku selalu kalah dan tidak pernah menang 1 kali pun ini membuatku semakin strees aku harap ada perkembangan di dalam match dan pelindung bintang itu sangat membuat saya kesal saya sudah komentar beberapa kali tetapi tidak ada perkembangan di season ini jika tidak ada perkembangan di season depan aku harap tidak melihat game ini lagi,1,Negatif
saya ada keluhan sedikit kenapa saya saat main rank selalu menemukan musuh yang pangkatnya itu udah pernah mencapai mitic Sasangkan saya baru legend yang pastinya kalah tolong diperbaiki 🙏,1,Negatif
Perasaan dulu masih enak main pake jaringan data aja. Kok sekarang ngelag parah ya. Perasaan device gua juga udah upgrade Tolong dong moonton lebih diperbaiki lagi,2,Negatif
W kan main rank sinyal w dari awal sampe akhir lag nah kan udh kalah kok ga ada point tambahan gara² lag ini moonton tolong dibenerin karna ini sangat merugikan ini saya mainnya di rank legend Lo,1,Negatif
"ada bug saat mengganti akun muncul tulisan jaringan tidak stabil kembali lagi nanti, sedangkan jaringan saya bagus bagus aja mohon di perbaiki, apalagi kalau sering mencoba ulang terus gagal di suruh nunggu waktu gara gara kebanyakan gagal dalam mengganti akun",1,Negatif
saya sangat senak memain kan geme ini walau kadang-kadang ngelek sampai afk tapi geme ini sangatlah seruh ada banyak hero juga semakin seru dan banyak skin yang keren-keren saya sangat suka geme ini❤️,5,Positif
Game apaan ini baru juga keluar bentar dah ngulang masuk ke game y bikin orang report cok mohon di perbaiki cok bikin capek orang aja dan satu lagi knp gk bisa ganti akun ke yang lain malah ke reset ngulang masuk ke game y perbaikilah yang punya ini game cok kecewa gua😡😈,2,Negatif
Gamenya bagus banget jadi gak bosen main setiap hari tapi bosen kalah kalah Mulu timnya rata rata bocil tim lawan bikin ulah bikin emosi pula tapi itu yang bikin menarik bintang 5 buat rate ku,5,Positif
