bacaan,artinya
"1. Yaa siin artinya. Yaa Siin.
",Yaa Siin.
"2. Walquraanil hakiim artinya. Demi Al Qur'an yang penuh hikmah,
","Demi Al Qur'an yang penuh hikmah,"
"3. innaka laminal mursaliin artinya. sesungguhnya kamu salah seorang dari rasul-rasul,
","sesungguhnya kamu salah seorang dari rasul-rasul,"
"4. 'alaa shiraathin mustaqiim artinya. (yang berada) di atas jalan yang lurus,
","(yang berada) di atas jalan yang lurus,"
"5. tanziila al'aziizi rrahiim artinya. (sebagai wahyu) yang diturunkan oleh Yang Maha Perkasa lagi Maha Penyayang.
",(sebagai wahyu) yang diturunkan oleh Yang Maha Perkasa lagi Maha Penyayang.
"6. Litundzira qawman maa undzira aabaauhum fahum ghaafiluun artinya. Agar kamu memberi peringatan kepada kaum yang bapak-bapak mereka belum pernah diberi peringatan, karena itu mereka lalai.
","Agar kamu memberi peringatan kepada kaum yang bapak-bapak mereka belum pernah diberi peringatan, karena itu mereka lalai."
"7. laqad haqqa lqawlu 'alaa aktsarihim fahum laa yu'minuun artinya. Sesungguhnya telah pasti berlaku perkataan (ketentuan Allah) terhadap kebanyakan mereka, karena mereka tidak beriman.
","Sesungguhnya telah pasti berlaku perkataan (ketentuan Allah) terhadap kebanyakan mereka, karena mereka tidak beriman."
"8. Innaa ja'alnaa fii a'naaqihim aghlaalan fahiya ilaa ladzqaani fahum muqmahuun artinya. Sesungguhnya Kami telah memasang belenggu di leher mereka, lalu tangan mereka (diangkat) ke dagu, maka karena itu mereka tertengadah.
","Sesungguhnya Kami telah memasang belenggu di leher mereka, lalu tangan mereka (diangkat) ke dagu, maka karena itu mereka tertengadah."
"9. Waja'alnaa min bayni aydiihim saddan wamin khalfihim saddan fa-aghsyaynaahum fahum laa yubshiruun artinya. Dan Kami adakan di hadapan mereka dinding dan di belakang mereka dinding (pula), dan Kami tutup (mata) mereka sehingga mereka tidak dapat melihat.
","Dan Kami adakan di hadapan mereka dinding dan di belakang mereka dinding (pula), dan Kami tutup (mata) mereka sehingga mereka tidak dapat melihat."
"10. Wasawaaun 'alayhim a-andzartahum am lam tundzirhum laa yu'minuun artinya. Sama saja bagi mereka apakah kamu memberi peringatan kepada mereka ataukah kamu tidak memberi peringatan kepada mereka, mereka tidak akan beriman.
","Sama saja bagi mereka apakah kamu memberi peringatan kepada mereka ataukah kamu tidak memberi peringatan kepada mereka, mereka tidak akan beriman."
"11. Innamaa tundziru mani ittaba'a dzdzikra wakhasyiya rrahmaana bilghaybi fabasysyirhu bimaghfiratin waajrin kariim artinya. Sesungguhnya kamu hanya memberi peringatan kepada orang-orang yang mau mengikuti peringatan dan yang takut kepada Tuhan Yang Maha Pemurah walaupun dia tidak melihat-Nya. Maka berilah mereka kabar gembira dengan ampunan dan pahala yang mulia.
",Sesungguhnya kamu hanya memberi peringatan kepada orang-orang yang mau mengikuti peringatan dan yang takut kepada Tuhan Yang Maha Pemurah walaupun dia tidak melihat-Nya. Maka berilah mereka kabar gembira dengan ampunan dan pahala yang mulia.
"12. Innaa nahnu nuhyiil mawtaa wanaktubu maa qaddamuu waaatsaarahum wakulla syay'in ahsaynaahu fii imaamin mubiin artinya. Sesungguhnya Kami menghidupkan orang-orang mati dan Kami menuliskan apa yang telah mereka kerjakan dan bekas-bekas yang mereka tinggalkan. Dan segala sesuatu Kami kumpulkan dalam Kitab Induk yang nyata (Lauh Mahfuzh).
",Sesungguhnya Kami menghidupkan orang-orang mati dan Kami menuliskan apa yang telah mereka kerjakan dan bekas-bekas yang mereka tinggalkan. Dan segala sesuatu Kami kumpulkan dalam Kitab Induk yang nyata (Lauh Mahfuzh).
"13. Wadhrib lahum matsalan ash-haaba lqaryati idz jaaahaal mursaluun artinya. Dan buatlah bagi mereka suatu perumpamaan, yaitu penduduk suatu negeri ketika utusan-utusan datang kepada mereka;
","Dan buatlah bagi mereka suatu perumpamaan, yaitu penduduk suatu negeri ketika utusan-utusan datang kepada mereka;"
